Model,RMSE mean CV [kg],RMSE std CV [kg],RMSE pct of range CV [kg],MAE mean CV [kg],MAE std CV [kg],R2 mean CV [kg],R2 std CV [kg],Test RMSE [kg],Test MAE [kg],Test R2 [kg]
Ridge Regression,0.1405,0.0717,0.1464,0.0609,0.0113,0.2084,0.2965,0.0656,0.0565,-0.2158
Linear Regression,0.1406,0.0717,0.1465,0.0609,0.0113,0.2082,0.2965,0.0657,0.0566,-0.2166
CatBoost,0.137,0.0709,0.1507,0.0611,0.0089,0.2476,0.3018,0.0544,0.0465,0.1647
XGBoost,0.1378,0.0722,0.1583,0.0639,0.0097,0.2378,0.3215,0.0608,0.053,-0.0425
LightGBM,0.1357,0.0648,0.1368,0.0648,0.0073,0.2494,0.2272,0.0655,0.0558,-0.2111
SVM (RBF),0.1532,0.0854,0.1772,0.0651,0.0115,0.0718,0.4498,0.0654,0.0565,-0.2062
KNN,0.1512,0.0814,0.1653,0.0673,0.0133,0.0932,0.3964,0.0,0.0,1.0
Elastic Net,0.1525,0.0529,0.1091,0.0755,0.0188,-0.0286,0.0166,0.0666,0.0545,-0.2509
Decision Tree,0.1499,0.0889,0.2084,0.0978,0.063,0.0904,0.5709,0.0638,0.055,-0.1499
Random Forest,0.1706,0.1174,0.2859,0.1205,0.1024,-0.2282,1.0785,0.0419,0.036,0.505
