iter	Passed	Remaining
0	1	242
1	2	293
2	3	254
3	4	236
4	6	262
5	7	250
6	8	247
7	10	241
8	11	235
9	13	249
10	14	244
11	15	240
12	16	237
13	17	232
14	18	227
15	19	222
16	20	218
17	21	213
18	21	209
19	22	205
20	23	198
21	24	195
22	25	193
23	25	189
24	26	187
25	27	184
26	28	180
27	28	177
28	29	175
29	30	172
30	31	169
31	32	168
32	32	166
33	33	164
34	34	162
35	35	160
36	36	160
37	37	158
38	37	156
39	39	156
40	39	155
41	40	152
42	42	156
43	44	156
44	46	158
45	48	161
46	49	160
47	50	159
48	51	158
49	52	156
50	52	154
51	53	152
52	54	151
53	55	150
54	56	148
55	56	146
56	57	144
57	58	142
58	58	140
59	59	139
60	60	137
61	61	136
62	61	134
63	62	132
64	63	131
65	64	130
66	65	129
67	66	128
68	66	127
69	68	127
70	69	126
71	70	125
72	71	123
73	71	122
74	72	121
75	73	119
76	74	118
77	74	116
78	75	115
79	76	114
80	76	112
81	77	111
82	78	110
83	79	109
84	80	108
85	80	107
86	81	106
87	82	104
88	83	103
89	83	102
90	84	101
91	85	100
92	85	98
93	86	97
94	87	96
95	88	95
96	88	94
97	89	93
98	90	92
99	90	90
100	91	89
101	92	88
102	93	87
103	93	86
104	94	85
105	95	85
106	96	83
107	97	82
108	97	81
109	98	80
110	99	79
111	100	78
112	100	77
113	101	76
114	102	75
115	102	74
116	103	73
117	104	72
118	105	71
119	106	70
120	106	69
121	107	68
122	108	67
123	109	66
124	109	65
125	110	65
126	111	64
127	112	63
128	113	62
129	113	61
130	114	60
131	115	59
132	115	58
133	116	57
134	117	56
135	117	55
136	118	54
137	119	53
138	119	52
139	120	51
140	121	50
141	122	49
142	122	48
143	123	48
144	124	47
145	124	46
146	125	45
147	126	44
148	127	43
149	128	42
150	128	41
151	129	40
152	130	39
153	131	39
154	131	38
155	132	37
156	133	36
157	134	35
158	134	34
159	135	33
160	136	33
161	136	32
162	137	31
163	138	30
164	138	29
165	139	28
166	140	27
167	140	26
168	141	25
169	142	25
170	142	24
171	143	23
172	144	22
173	144	21
174	145	20
175	146	19
176	146	19
177	147	18
178	148	17
179	149	16
180	149	15
181	150	14
182	151	14
183	151	13
184	152	12
185	153	11
186	153	10
187	154	9
188	155	9
189	155	8
190	156	7
191	157	6
192	158	5
193	159	4
194	159	4
195	160	3
196	161	2
197	161	1
198	162	0
199	163	0
