Model,RMSE mean CV [kg],RMSE std CV [kg],RMSE pct of range CV [kg],MAE mean CV [kg],MAE std CV [kg],R2 mean CV [kg],R2 std CV [kg],Test RMSE [kg],Test MAE [kg],Test R2 [kg]
Ridge Regression,0.1405,0.0717,0.1464,0.0609,0.0113,0.2084,0.2965,0.0672,0.0578,-0.2736
Linear Regression,0.1406,0.0717,0.1465,0.0609,0.0113,0.2082,0.2965,0.0672,0.0578,-0.2748
CatBoost,0.137,0.0709,0.1507,0.0611,0.0089,0.2476,0.3018,0.0679,0.0574,-0.3001
XGBoost,0.1378,0.0722,0.1583,0.0639,0.0097,0.2378,0.3215,0.0642,0.0555,-0.1625
LightGBM,0.1357,0.0648,0.1368,0.0648,0.0073,0.2494,0.2272,0.0705,0.0599,-0.4036
SVM (RBF),0.1532,0.0854,0.1772,0.0651,0.0115,0.0718,0.4498,0.0728,0.0603,-0.4967
KNN,0.1512,0.0814,0.1653,0.0673,0.0133,0.0932,0.3964,0.0703,0.0588,-0.396
Elastic Net,0.1525,0.0529,0.1091,0.0755,0.0188,-0.0286,0.0166,0.0681,0.0555,-0.3085
Decision Tree,0.1499,0.0889,0.2084,0.0978,0.063,0.0904,0.5709,0.0666,0.0571,-0.2524
Random Forest,0.1706,0.1174,0.2859,0.1205,0.1024,-0.2282,1.0785,0.0666,0.0562,-0.252
